500,1003,-11839,18,84293,6143,172880,789,-5058
700,1004,-16686,22,80782,6110,170083,786,-7404
900,998,-22173,27,78005,6032,166189,780,-9906
1.1,998,-26706,34,71700,6013,162845,775,-12902
1.3,985,-31182,38,69991,5898,159757,768,-15293
1.5,987,-35871,45,65871,5849,156493,753,-17511
1.7,973,-40527,49,62213,5709,153211,740,-19820
1.9,962,-44200,54,60558,5598,150876,732,-21816
2.1,949,-48683,60,58445,5476,147576,724,-23608
2.3,947,-52784,61,56862,5390,144737,710,-25689
2.5,933,-57083,67,54516,5260,141737,702,-28104
2.7,930,-60651,72,51477,5159,139207,686,-29381
2.9,918,-63909,75,49893,5032,137153,678,-31607
3.1,910,-67454,77,47081,4917,134480,669,-33268
3.3,900,-70749,80,45507,4805,132214,656,-34925
3.5,892,-74186,84,42806,4691,129690,646,-36603
3.7,883,-77734,86,40911,4578,127207,633,-38221
3.9,874,-80257,90,40567,4450,125309,623,-39342
4.1,869,-83290,91,36979,4362,122739,617,-41241
4.3,857,-86394,92,37029,4237,120570,609,-42308
4.5,852,-88913,96,33967,4144,118863,597,-43640
4.7,848,-91361,97,33597,4046,117095,594,-45400
4.9,841,-93877,99,31156,3954,115254,578,-45823
5.1,834,-96281,98,30696,3842,113425,571,-47404
5.3,831,-98413,100,29141,3767,111879,564,-48658
5.5,821,-101045,102,26741,3658,109851,556,-49496
5.7,822,-102886,104,25441,3598,108288,551,-50179
5.9,812,-105198,103,24316,3501,106687,536,-51830
6.1,808,-107094,107,23450,3426,105537,537,-52444
6.3,803,-108723,104,21875,3337,104206,532,-53519
6.5,805,-110857,107,21346,3286,102368,526,-54286
6.7,795,-112513,107,20031,3196,101088,520,-55197
6.9,791,-114363,108,19081,3122,99558,512,-56181
7.1,789,-116172,108,19069,3049,98089,510,-56911
7.3,785,-117544,108,17310,2980,96950,507,-58320
7.5,786,-118741,109,17151,2939,96063,501,-58163
7.7,779,-120374,110,15980,2868,94597,496,-59541
7.9,781,-122071,111,13994,2823,93282,496,-60211
8.1,777,-123500,109,13796,2759,92436,487,-60853
8.3,774,-124929,109,12374,2702,91229,488,-61462
8.5,771,-126082,111,11397,2644,90083,481,-62390
8.7,767,-127479,111,10415,2587,88633,481,-63464
8.9,768,-128587,110,9890,2556,87491,477,-64256
9.1,763,-129711,112,9012,2494,86581,475,-64908
9.3,762,-130732,111,7945,2458,85561,475,-65126
9.5,763,-132114,111,7590,2411,84217,470,-66560
9.7,761,-133145,113,7529,2368,83246,468,-66901
9.9,756,-134236,111,5711,2319,82055,464,-68317
10.1,758,-135275,110,5545,2282,81139,467,-68620
10.3,753,-135851,110,4497,2241,80475,455,-69151
10.5,755,-136974,110,4959,2189,79494,457,-70934
10.7,752,-137740,110,3856,2170,79208,458,-69841
10.9,750,-139208,111,2870,2123,77790,458,-70975
11.1,751,-140194,111,2802,2095,76625,457,-71424
11.3,748,-140916,111,1694,2057,75895,454,-72355
11.5,743,-141686,110,806,2016,74990,456,-73292
11.7,749,-142403,110,-615,1999,74278,449,-73366
11.9,749,-143281,111,264,1961,73340,447,-74439
12.1,742,-144330,111,-1138,1922,71790,448,-75201
12.3,740,-144838,109,-2307,1897,70905,447,-76065
12.5,744,-146035,109,-2441,1882,69848,447,-76576
12.7,744,-146138,108,-2065,1848,69484,447,-77289
12.9,741,-147161,109,-3597,1824,68394,447,-77506
13.1,737,-147799,109,-4349,1789,67779,445,-78895
13.3,741,-148586,109,-5192,1767,66729,449,-79559
13.5,742,-149183,109,-5335,1750,66134,441,-80603
13.7,740,-149818,107,-5952,1713,65706,445,-80966
13.9,743,-150656,107,-6509,1696,64899,443,-81406
14.1,738,-151205,105,-7236,1665,63789,444,-82072
14.3,739,-151988,106,-7321,1650,63156,445,-83100
14.5,743,-152266,107,-7446,1624,62412,449,-83550
14.7,739,-153042,106,-8170,1605,61537,444,-83821
14.9,743,-153850,105,-7329,1583,60731,450,-85228
15.1,741,-154213,104,-9344,1557,59852,448,-84877
15.3,743,-154662,103,-9427,1541,59229,447,-86463
15.5,744,-155426,104,-10539,1524,58426,452,-86273
15.7,736,-155826,103,-10993,1495,57732,442,-87266
15.9,746,-156363,104,-11137,1490,56871,452,-87548
16.1,735,-156511,103,-10773,1465,56464,444,-88449
16.3,736,-157188,101,-11673,1441,55358,450,-90253
16.5,737,-157714,101,-12086,1427,54634,447,-89967
16.7,736,-158402,103,-13154,1406,53669,451,-91361
16.9,735,-158644,100,-13248,1391,53189,452,-91530
17.1,739,-159313,102,-14119,1372,52380,450,-93199
17.3,738,-159544,98,-14466,1358,51394,457,-92759
17.5,737,-160284,100,-15267,1343,51131,447,-94287
17.7,740,-160496,98,-15725,1323,50311,459,-94846
17.9,736,-161143,99,-15302,1307,49463,451,-94489
18.1,742,-161466,98,-15769,1294,48943,455,-96513
18.3,741,-161821,95,-15972,1284,48420,459,-95937
18.5,738,-162403,96,-16183,1262,47613,455,-97384
18.7,738,-162555,95,-17257,1253,47212,463,-97724
18.9,741,-163003,96,-17762,1240,46429,458,-98256
19.1,740,-163436,96,-17903,1223,45719,465,-99102
19.3,742,-164090,93,-18189,1210,44952,463,-99511
19.5,740,-164420,94,-18896,1200,44103,463,-100276
19.7,743,-164967,93,-19360,1186,43657,461,-100893
19.9,743,-165413,91,-19942,1173,42865,467,-101764
20.1,743,-165980,92,-19891,1158,42453,465,-100889
20.3,743,-166223,92,-20162,1145,41881,464,-102964
20.5,740,-166564,91,-20308,1131,41264,468,-102572
