1	1007	-11558	16	85374	8212	174549	720	-4165
2	1012	-16470	20	81603	8180	172485	717	-6442
3	1008	-22204	25	78711	8078	169053	711	-8815
4	1015	-26682	31	71644	8080	166293	705	-12051
5	1002	-31180	34	69961	7928	163787	698	-14379
6	1011	-35821	41	65953	7893	160988	680	-16492
7	1000	-40621	44	61803	7708	158196	666	-18792
8	992	-44079	49	60608	7572	156489	657	-20666
9	981	-48564	56	59108	7406	153572	649	-22104
10	984	-52864	56	56626	7317	151183	630	-24235
11	971	-57187	62	54652	7147	148646	623	-26723
12	976	-60584	67	51917	7026	146532	604	-27740
13	966	-63756	70	50179	6868	145076	596	-30153
14	962	-67362	73	46835	6717	142813	585	-31743
15	955	-70666	75	45219	6579	140964	568	-33367
16	951	-74124	79	42410	6429	138830	555	-35074
17	945	-77828	81	40240	6284	136682	539	-36681
18	936	-80025	85	40733	6108	135271	526	-37426
19	935	-83231	87	35954	5993	133058	517	-39618
20	922	-86374	87	36338	5816	131271	507	-40110
21	924	-88791	92	33234	5703	129972	491	-41738
22	922	-91107	94	32740	5576	128695	488	-43493
23	918	-93663	96	30251	5451	127132	464	-43629
24	909	-96045	94	29262	5298	125752	455	-45054
25	910	-98082	97	27622	5205	124602	445	-46422
26	902	-100826	99	25011	5046	122911	432	-46961
27	907	-102477	102	23850	4969	121728	423	-47363
28	896	-104948	101	21978	4837	120452	403	-49365
29	896	-106632	106	21981	4737	119762	404	-49602
30	890	-108228	103	19239	4615	118889	394	-50365
31	897	-110276	107	19256	4546	117313	384	-50928
32	886	-111896	107	17641	4417	116482	375	-51543
33	883	-113689	108	16662	4313	115301	363	-52464
34	881	-115386	107	16633	4210	114229	358	-52507
35	878	-116658	109	14400	4119	113542	354	-54194
36	882	-117651	109	14543	4065	113003	342	-53206
37	875	-119268	111	13301	3963	111928	335	-54827
38	882	-120949	115	11233	3902	110919	330	-55275
39	877	-122344	111	10350	3814	110436	317	-55509
40	876	-123735	113	8667	3732	109633	314	-55437
41	873	-124710	115	8017	3651	108876	303	-56654
42	869	-126078	116	6759	3569	107828	301	-57390
43	871	-127087	115	5910	3527	106998	293	-58068
44	866	-128056	118	5496	3438	106550	289	-58418
45	866	-129012	118	4095	3387	105905	283	-57626
46	868	-130290	118	3339	3322	104862	276	-59543
47	867	-131130	120	4171	3260	104288	272	-59440
48	860	-132274	119	1297	3190	103474	264	-61238
49	865	-133117	119	960	3138	102946	264	-60288
50	858	-133558	120	47	3080	102664	246	-61427
51	861	-134439	118	-172	3013	102087	252	-63587
52	861	-135159	121	-498	2984	102181	244	-60402
53	860	-136619	123	-1454	2913	101099	243	-61419
54	862	-137489	122	-1697	2870	100258	238	-61086
55	858	-138097	124	-2723	2817	99934	233	-62408
56	852	-138796	124	-3961	2758	99496	234	-62879
57	860	-139356	125	-5543	2736	99001	218	-62787
58	862	-139970	125	-4445	2683	98428	217	-64285
59	851	-141096	126	-5652	2619	97312	214	-64308
60	848	-141510	127	-7330	2585	96813	210	-65151
61	855	-142663	125	-7962	2561	95969	206	-64928
62	853	-142392	125	-7722	2519	96092	206	-65596
63	852	-143449	128	-8780	2480	95332	201	-64721
64	847	-143989	129	-9441	2431	95128	199	-67549
65	853	-144599	131	-10310	2400	94381	200	-67393
66	855	-145044	130	-10798	2377	94023	189	-70431
67	853	-145513	129	-11843	2326	94073	193	-68989
68	859	-146205	130	-12438	2300	93500	186	-69324
69	851	-146666	129	-13511	2254	92859	185	-69033
70	854	-147338	131	-13345	2232	92491	185	-71067
71	858	-147289	133	-13203	2201	92146	189	-70394
72	854	-148051	132	-14045	2167	91607	177	-70507
73	860	-148609	130	-14156	2139	91071	188	-71907
74	856	-148853	132	-15623	2099	90641	177	-69635
75	858	-149102	132	-16551	2080	90279	179	-73155
76	861	-149763	135	-16872	2052	89812	177	-70593
77	850	-150094	134	-17190	2009	89554	167	-73946
78	864	-150329	136	-17302	2006	88886	173	-71865
79	848	-150434	134	-16905	1968	89014	165	-75207
80	849	-150941	134	-18888	1935	88201	176	-77272
81	851	-151303	135	-18887	1912	87800	166	-75908
82	851	-151900	139	-19176	1883	87123	171	-78462
83	848	-151961	137	-19843	1862	87067	169	-77259
84	855	-152406	140	-20427	1836	86383	171	-81842
85	850	-152475	138	-21590	1815	85916	171	-76764
86	852	-153134	140	-21826	1791	85793	164	-83570
87	854	-153054	141	-22892	1769	85371	175	-80581
88	851	-153590	140	-21717	1739	84882	159	-80675
89	858	-153622	141	-23179	1726	84493	171	-84674
90	856	-153840	139	-23925	1712	84420	168	-80452
91	853	-154288	139	-23859	1678	83892	168	-85008
92	852	-154313	142	-24463	1667	83889	173	-83298
93	857	-154508	144	-24642	1649	83286	165	-85225
94	855	-154783	145	-24837	1626	82929	174	-84910
95	858	-155220	142	-26092	1603	82405	170	-84881
96	855	-155458	144	-26127	1589	81875	169	-86479
97	859	-155766	144	-26872	1568	81625	167	-87895
98	859	-156032	145	-27887	1550	81119	173	-87661
99	862	-156384	145	-27234	1525	81084	162	-84471
100	862	-156430	146	-27914	1509	80668	171	-90588
101	857	-156645	146	-27599	1488	80539	169	-87152
